,Clusters,Neighborhood,Borough,Latitude,Longitude,Common Venue
263,0,Stuyvesant Town,Manhattan,40.73099955477061,-73.97405170469203,Italian Restaurant
264,2,Sunnyside,Queens,40.74017628351924,-73.92691617561577,Pizza Place
264,2,Sunnyside,Staten Island,40.61276015756489,-74.0971255217853,Pizza Place
265,2,Sunnyside Gardens,Queens,40.74565180608076,-73.91819286431682,Fast Food Restaurant
266,2,Sunset Park,Brooklyn,40.64510294925429,-74.01031618527784,Mexican Restaurant
267,0,Sutton Place,Manhattan,40.76028033131374,-73.96355614094303,American Restaurant
268,1,Throgs Neck,Bronx,40.81510925804005,-73.81635002158441,Italian Restaurant
269,1,Todt Hill,Staten Island,40.59706851814673,-74.1113288180088,Pizza Place
270,2,Tompkinsville,Staten Island,40.637316067110326,-74.08055351790115,Pizza Place
271,0,Tottenville,Staten Island,40.50533376115642,-74.24656934235283,Italian Restaurant
272,1,Travis,Staten Island,40.58631375103281,-74.19073717538116,Pizza Place
273,0,Tribeca,Manhattan,40.721521967443216,-74.01068328559087,French Restaurant
274,0,Tudor City,Manhattan,40.746917410740195,-73.97121928722265,Korean Restaurant
275,2,Turtle Bay,Manhattan,40.75204236950722,-73.96770824581834,American Restaurant
276,2,Unionport,Bronx,40.82977429787161,-73.85053524451935,Fast Food Restaurant
277,2,University Heights,Bronx,40.85572707719664,-73.9104159619131,Fast Food Restaurant
278,0,Upper East Side,Manhattan,40.775638573301805,-73.96050763135,Thai Restaurant
279,0,Upper West Side,Manhattan,40.787657998534854,-73.97705923630603,American Restaurant
280,2,Utopia,Queens,40.73350025429757,-73.79671678028349,Pizza Place
281,2,Van Nest,Bronx,40.84360847124718,-73.8662991807561,Pizza Place
282,1,Vinegar Hill,Brooklyn,40.70332149882874,-73.98111603592393,Pizza Place
283,3,Wakefield,Bronx,40.89470517661,-73.84720052054902,Caribbean Restaurant
284,2,Washington Heights,Manhattan,40.85190252555305,-73.93690027985234,Mexican Restaurant
285,3,Weeksville,Brooklyn,40.67503986503237,-73.93053108817338,Caribbean Restaurant
286,1,West Brighton,Staten Island,40.63187892654607,-74.1071817826561,Pizza Place
287,2,West Farms,Bronx,40.83947505672653,-73.87774474910545,Fast Food Restaurant
288,0,West Village,Manhattan,40.73443393572434,-74.00617998126812,Italian Restaurant
289,2,Westchester Square,Bronx,40.8406194964327,-73.84219407604444,Fast Food Restaurant
290,2,Westerleigh,Staten Island,40.62109047275409,-74.13304143951704,Chinese Restaurant
291,0,Whitestone,Queens,40.78129076602694,-73.81420216610863,Italian Restaurant
292,3,Williamsbridge,Bronx,40.88103887819211,-73.85744642974207,Caribbean Restaurant
293,2,Williamsburg,Brooklyn,40.70714439344251,-73.95811529220927,Pizza Place
294,1,Willowbrook,Staten Island,40.60370692627371,-74.13208447484298,Pizza Place
295,0,Windsor Terrace,Brooklyn,40.65694583575104,-73.98007340430172,Italian Restaurant
296,3,Wingate,Brooklyn,40.66094656188111,-73.93718680559314,Caribbean Restaurant
297,2,Woodhaven,Queens,40.68988687915789,-73.8581104655432,Pizza Place
298,3,Woodlawn,Bronx,40.89827261213805,-73.86731496814176,Caribbean Restaurant
299,1,Woodrow,Staten Island,40.541967622888755,-74.20524582480326,Pizza Place
300,2,Woodside,Queens,40.74634908860222,-73.90184166838284,Fast Food Restaurant
301,0,Yorkville,Manhattan,40.775929849884875,-73.94711784471826,Italian Restaurant
