,yearbuilt,assesstot,longitude,latitude,Cluster
164037,1989.0,63349200.0,-73.9842223,40.7587852,3
164038,2007.0,47768428.0,-74.00540809999998,40.725305600000006,2
164039,1955.0,214297286.0,-73.9755188,40.750758000000005,3
164044,1928.0,106333652.0,-73.9731804,40.7497694,0
164049,1958.0,157638600.0,-73.9740311,40.7617806,3
164050,1950.0,16170750.0,-73.97815770000001,40.7600028,0
164053,2000.0,91532392.0,-73.9855902,40.7593919,2
164059,2007.0,165324150.0,-73.9895901,40.7566394,2
164064,2007.0,49829112.0,-73.9893965,40.7715982,2
164100,1986.0,81707685.0,-73.98585870000001,40.7700965,3
164105,1987.0,23796006.0,-73.9614605,40.7639756,3
164122,2007.0,51086711.0,-74.0062444,40.7176505,2
164152,1979.0,85265115.0,-73.98157309999999,40.77076829999999,3
164160,1992.0,149552675.0,-73.98147809999999,40.7748031,3
164161,2013.0,15825600.0,-73.9823015,40.7468562,2
164170,1930.0,23840554.0,-73.9833386,40.7704969,0
164174,2005.0,14701492.0,-73.96682309999998,40.7602609,2
164240,1962.0,45366541.0,-73.9872725,40.7771863,3
164290,2006.0,13490103.0,-73.9696365,40.796744700000005,2
164296,1950.0,75243140.0,-73.96176190000001,40.7672886,0
164309,2008.0,22912202.0,-73.97069090000001,40.7971649,2
164329,1996.0,21223346.0,-73.9592823,40.7723189,2
164341,1985.0,19298330.0,-73.9564421,40.7760205,3
164351,2005.0,147694487.0,-73.9813928,40.7698598,2
164397,2013.0,103796265.0,-73.9964987,40.75875870000001,2
164417,2017.0,43811573.0,-73.93619809999998,40.749131799999994,2
164425,1964.0,58001851.0,-73.98617879999999,40.7759208,3
164440,1978.0,126786627.0,-73.98423840000001,40.7668245,3
164464,1931.0,75084930.0,-74.0095687,40.7054608,0
164485,2015.0,34845133.0,-73.9979714,40.7576828,2
164486,2007.0,21769364.0,-73.9827016,40.6931935,2
164494,2004.0,703072485.0,-73.9830936,40.7684685,2
164497,1973.0,26184589.0,-73.9606953,40.77608789999999,3
164501,1987.0,46296477.0,-73.98303620000002,40.7670851,3
164514,2010.0,124495293.0,-73.99028100000001,40.7471289,2
164523,1986.0,43831354.0,-73.98746740000001,40.7395394,3
164533,1982.0,34129419.0,-74.0117869,40.7060205,3
164554,1982.0,38755789.0,-73.9845739,40.7679609,3
164574,1982.0,32227196.0,-73.9832954,40.769989100000004,3
164605,2007.0,23540101.0,-73.9444507,40.8027655,2
164613,1995.0,64895518.0,-73.98179240000002,40.7740758,2
164616,1967.0,35482579.0,-73.9650782,40.7630161,3
164629,2013.0,39505500.0,-73.98397609999999,40.746990999999994,2
164634,1965.0,34751345.0,-73.9843083,40.7767852,3
164674,1913.0,68650149.0,-74.00832890000001,40.7124573,0
164690,2000.0,26730450.0,-73.9938997,40.758530799999996,2
164699,2005.0,63276703.0,-74.01035859999999,40.7053674,2
164727,2004.0,56731508.0,-73.9860356,40.7527744,2
164746,1999.0,28821602.0,-73.9808618,40.7711442,2
164763,1985.0,74015968.0,-73.9526503,40.766857,3
164802,2008.0,144359100.0,-73.99877990000002,40.761531,2
164815,1989.0,94229700.0,-73.98849179999999,40.7628808,3
164826,1988.0,33234747.0,-73.98583670000001,40.7715594,3
164832,1986.0,42908844.0,-73.9655911,40.762365700000004,3
164841,1973.0,22845649.0,-73.9696392,40.7908106,3
164845,1962.0,61273580.0,-73.986561,40.77845429999999,3
164850,2003.0,29617211.0,-73.98219940000001,40.7509651,2
164853,2015.0,17155800.0,-73.93722220000001,40.7500985,2
164868,1984.0,30842562.0,-73.95679150000001,40.7661395,3
164875,1963.0,38732401.0,-73.98597640000001,40.7765466,3
164879,1990.0,30384917.0,-73.9789605,40.744020299999995,3
164882,2015.0,51803099.0,-73.9821859,40.6932373,2
164891,2007.0,37976407.0,-73.95752879999999,40.770506700000006,2
