,bldgclass,bldgarea,officearea,retailarea,resarea,comarea,unitstotal,assesstot,longitude,latitude,Cluster
200110,D8,270400.0,0.0,0.0,0.0,4875.0,379.0,12380400.0,-74.00042590000001,40.757361700000004,0
200114,H2,218640.0,0.0,2823.0,0.0,2823.0,2.0,30221100.0,-73.9986681,40.7546801,0
200117,D6,511325.0,0.0,39150.0,368679.0,142646.0,58.0,13215150.0,-73.99889190000002,40.75561879999999,0
200122,O4,1178640.0,1149691.0,28949.0,0.0,1178640.0,2.0,250567650.0,-74.001765,40.75524,1
200133,D6,321693.0,0.0,13573.0,198084.0,49547.0,253.0,51858450.0,-73.99904709999998,40.756538299999995,0
200139,O4,515174.0,320000.0,0.0,0.0,350000.0,3.0,88198200.0,-73.99651329999999,40.7539335,2
200143,D8,807316.0,0.0,20615.0,721054.0,86262.0,839.0,82932750.0,-73.99816640000002,40.7570598,0
200158,D7,467131.0,0.0,1640.0,465491.0,1640.0,591.0,34049700.0,-73.9996426,40.75847329999999,0
200180,H2,1300727.0,0.0,34016.0,0.0,34016.0,3.0,70774200.0,-73.99364399999999,40.7527229,0
200193,D6,555125.0,51008.0,11422.0,290000.0,265125.0,345.0,75397500.0,-73.994615,40.7522619,0
200194,H1,119347.0,,,,,1.0,16568550.0,-73.99374499999999,40.7537412,0
200196,H2,197027.0,,,,,570.0,38706300.0,-73.9942033,40.753936100000004,0
200241,H3,102824.0,,,,,3.0,13206600.0,-73.9925358,40.7545289,0
200253,D8,170978.0,0.0,10978.0,158906.0,12072.0,210.0,22338900.0,-73.99439459999999,40.7548227,0
200259,H2,200590.0,,,,,1.0,29598750.0,-73.99308420000001,40.75669179999999,0
200276,H3,71706.0,,,,,1.0,11376900.0,-73.99283879999999,40.756274600000005,0
200300,H2,114917.0,,,,,271.0,10718100.0,-73.9917343,40.7561235,0
200319,H2,98738.0,,,,,248.0,18299250.0,-73.9923695,40.7563898,0
200320,H2,102000.0,,,,,1.0,15912900.0,-73.99252829999999,40.7564585,0
200323,O4,553748.0,543748.0,10000.0,0.0,553748.0,136.0,60036750.0,-73.9892766,40.75345,2
200332,H2,67130.0,,,,,1.0,10124100.0,-73.99287120000001,40.756601200000006,0
200417,O4,1039529.0,968284.0,26357.0,0.0,1039529.0,44.0,153343800.0,-73.9838656,40.756056799999996,1
200422,O4,768530.0,748316.0,18000.0,0.0,768530.0,88.0,63647550.0,-73.9866888,40.75295560000001,1
200426,O4,654137.0,614006.0,40131.0,0.0,654137.0,95.0,54464400.0,-73.98538559999999,40.7540314,2
200432,O4,464951.0,429569.0,35382.0,0.0,464951.0,56.0,37179900.0,-73.9878944,40.752565999999995,2
200442,O4,362850.0,334140.0,14355.0,0.0,362850.0,150.0,39620700.0,-73.98626259999999,40.7546518,2
200447,O4,494868.0,450730.0,10000.0,0.0,460730.0,1.0,47877750.0,-73.98716850000001,40.75499779999999,2
200449,O4,734668.0,686025.0,11510.0,0.0,734668.0,43.0,165756600.0,-73.98336009999998,40.756671600000004,1
200453,H1,471985.0,0.0,1985.0,0.0,1985.0,1.0,42365250.0,-73.984645,40.757154799999995,0
200457,O4,367212.0,356062.0,11150.0,0.0,367212.0,106.0,32472000.0,-73.9868007,40.753246600000004,2
200458,O4,1088074.0,1042920.0,42780.0,0.0,1088074.0,100.0,118594350.0,-73.9875657,40.7541936,1
200460,O4,493107.0,401298.0,82148.0,0.0,493107.0,69.0,126971550.0,-73.9856377,40.756770700000004,2
200463,O4,426056.0,414076.0,2736.0,0.0,426056.0,66.0,52282800.0,-73.9839412,40.757034000000004,2
200469,H2,304831.0,,,,,1.0,42398550.0,-73.9840421,40.757569200000006,0
200470,H1,369864.0,0.0,76998.0,0.0,76998.0,4.0,51092100.0,-73.9840995,40.75922979999999,0
200472,H1,374765.0,0.0,4000.0,0.0,67200.0,3.0,50791500.0,-73.98339200000001,40.7589305,0
200476,H3,207700.0,0.0,7700.0,0.0,7700.0,6.0,41540850.0,-73.98039809999999,40.7642576,0
200479,H3,126398.0,,,,,1.0,17117100.0,-73.9861798,40.753575899999994,0
200483,H3,112850.0,0.0,4523.0,0.0,4523.0,2.0,15711300.0,-73.9779577,40.7643367,0
200503,O4,1047390.0,982230.0,22040.0,0.0,1047390.0,50.0,207316350.0,-73.9825188,40.7578984,1
200509,O4,87573.0,36674.0,0.0,0.0,36674.0,1.0,9125550.0,-73.97837309999998,40.7636946,0
200510,RC,487156.0,0.0,26883.0,0.0,26883.0,1332.0,104575179.0,-73.98830840000001,40.7587088,0
200528,D6,463143.0,20000.0,15000.0,415943.0,47200.0,465.0,53877600.0,-73.9869978,40.7605092,0
200543,O4,1721814.0,1440374.0,173145.0,0.0,1721672.0,1.0,364938750.0,-73.98643879999999,40.757929100000005,3
200555,D8,475327.0,25000.0,4405.0,411195.0,64132.0,483.0,64098900.0,-73.9860916,40.7608934,0
200565,O4,2438059.0,2202507.0,158110.0,0.0,2438059.0,47.0,418591800.0,-73.9847016,40.7621064,3
200570,O4,561139.0,532899.0,11326.0,0.0,561139.0,7.0,85324500.0,-73.98391140000001,40.7608848,2
200583,O4,762619.0,740222.0,4042.0,0.0,751856.0,1.0,143442450.0,-73.9835462,40.7631025,1
200596,D8,542276.0,0.0,16514.0,525762.0,16514.0,428.0,81288900.0,-73.98407309999999,40.763560999999996,0
200600,H1,843131.0,163265.0,78335.0,0.0,277663.0,10.0,82152000.0,-73.98507740000001,40.760618799999996,0
200609,H2,325216.0,85216.0,0.0,0.0,85216.0,1.0,56778300.0,-73.9837485,40.7625179,0
200620,O4,552775.0,522775.0,30000.0,0.0,552775.0,36.0,58604850.0,-73.99158249999999,40.757504100000006,2
200621,D6,311689.0,8805.0,11689.0,255137.0,56552.0,406.0,37209150.0,-73.98146990000001,40.7654737,0
200624,O4,435677.0,423677.0,12000.0,0.0,435677.0,186.0,63641700.0,-73.98253100000001,40.7662753,2
200650,O4,519600.0,511700.0,7900.0,0.0,519600.0,53.0,115198650.0,-73.9816902,40.7649495,2
200776,H2,73651.0,,,,,1.0,12325410.0,-73.9874308,40.761426,0
201162,D8,388073.0,0.0,33000.0,338273.0,50000.0,422.0,56460600.0,-73.9976067,40.760962799999994,0
201169,D6,319967.0,0.0,3700.0,298967.0,21000.0,380.0,37141200.0,-73.99637940000001,40.7605401,0
201279,M1,40110.0,0.0,0.0,4199.0,35911.0,328.0,7374150.0,-73.98142800000001,40.7731562,0
201299,H1,294000.0,,,,,1.0,40790250.0,-73.9816422,40.755996100000004,0
201301,D8,461229.0,0.0,3654.0,457575.0,3654.0,340.0,58580550.0,-73.9860604,40.7719602,0
201371,RC,446678.0,386839.0,59839.0,0.0,446678.0,3.0,62654400.0,-73.9801264,40.755224600000005,2
201385,O4,500177.0,472577.0,8000.0,0.0,500177.0,0.0,63795150.0,-73.97847469999999,40.7619654,2
201394,D6,74291.0,0.0,3961.0,541233.0,58807.0,184.0,11382750.0,-73.9783412,40.7617211,0
201416,O4,205020.0,171000.0,34000.0,0.0,205020.0,1.0,44595900.0,-73.9758652,40.7609932,0
201427,O4,336010.0,320250.0,15750.0,0.0,336010.0,67.0,79907400.0,-73.9768041,40.759769299999995,2
201434,D6,50648.0,0.0,3961.0,541233.0,58807.0,184.0,7733700.0,-73.97797299999999,40.761883000000005,0
201435,D6,50648.0,0.0,3961.0,541233.0,58807.0,184.0,7733700.0,-73.9779188,40.761860999999996,0
201456,O4,251043.0,231043.0,20000.0,0.0,251043.0,30.0,80930250.0,-73.9803579,40.753566799999994,2
201473,O4,1678135.0,1639725.0,38410.0,0.0,1678135.0,5.0,409013100.0,-73.97855340000001,40.7529654,3
201488,O4,1174988.0,1021827.0,5400.0,0.0,1174988.0,3.0,253474200.0,-73.9767262,40.7554682,1
201490,O4,874744.0,850729.0,24005.0,0.0,874744.0,2.0,122128200.0,-73.9780948,40.7535911,1
201498,O4,311501.0,299491.0,12000.0,0.0,311501.0,87.0,52130250.0,-73.97747079999999,40.7632744,2
201507,O4,600000.0,581357.0,900.0,0.0,600000.0,4.0,103313250.0,-73.9783047,40.7519278,2
201517,O4,332312.0,321143.0,11169.0,0.0,332312.0,75.0,38330100.0,-73.97942629999999,40.7548375,2
201521,O4,201387.0,194929.0,6458.0,0.0,201387.0,8.0,42642450.0,-73.98135450000001,40.752230299999994,0
201531,H9,115924.0,0.0,1628.0,0.0,1628.0,1.0,14542200.0,-73.97735390000001,40.75660739999999,0
201535,O4,386166.0,381707.0,4459.0,0.0,386166.0,35.0,91664100.0,-73.9750944,40.756417600000006,2
201558,O4,164722.0,158422.0,6300.0,0.0,164722.0,1.0,29781000.0,-73.974292,40.7591896,0
201595,O4,401686.0,387020.0,14666.0,0.0,401686.0,7.0,85057650.0,-73.976101,40.75763920000001,2
201606,O4,268106.0,264196.0,3900.0,0.0,268106.0,45.0,43407000.0,-73.9716033,40.7580609,2
201607,O4,1351000.0,1331420.0,19580.0,0.0,1351000.0,2.0,108763650.0,-73.9759897,40.7559814,1
