,Unnamed: 0,geometry
199,161336,POINT (-73.9444556 40.7479627)
200,161337,POINT (-73.9810122 40.7665674)
201,161354,POINT (-73.9808008 40.7664805)
202,161355,POINT (-73.9812105 40.7666495)
203,161390,POINT (-73.80677990000002 40.7005387)
204,161732,POINT (-73.9870561 40.702002)
205,161759,POINT (-73.98270579999998 40.7745041)
206,161766,POINT (-74.00038240000001 40.7137009)
207,162232,POINT (-73.9839715 40.7454574)
208,162263,POINT (-73.97268840000002 40.7513122)
209,162309,POINT (-73.95965509999998 40.8116213)
210,162540,POINT (-73.97141910000001 40.7583079)
211,162551,POINT (-73.97736329999999 40.7608069)
212,162563,POINT (-73.98221240000002 40.7563119)
213,162579,POINT (-74.0090359 40.7127756)
214,162654,POINT (-73.9792897 40.7647185)
215,162655,POINT (-73.9931887 40.75827279999999)
216,162768,POINT (-73.9796128 40.6879916)
217,162887,POINT (-73.98609499999998 40.6235973)
218,163003,POINT (-73.976896 40.76542620000001)
219,163013,POINT (-73.98752469999999 40.7610335)
220,163022,POINT (-73.9992347 40.7607899)
221,163027,POINT (-73.97971269999999 40.7624432)
222,163035,POINT (-73.97367509999999 40.7492096)
223,163042,POINT (-73.976086 40.7591982)
224,163047,POINT (-73.9785167 40.7661731)
225,163097,POINT (-73.9814192 40.6884174)
226,163113,POINT (-73.98656629999998 40.6980989)
227,163932,POINT (-73.9861968 40.7586262)
228,163963,POINT (-73.97824190000001 40.7562673)
229,163977,POINT (-73.9879916 40.69381170000001)
230,163982,POINT (-73.982488 40.76524600000001)
231,163989,POINT (-73.97455429999999 40.7530799)
232,163995,POINT (-73.98185129999997 40.7568196)
233,163999,POINT (-73.97681559999999 40.757966)
234,164005,POINT (-73.97670649999998 40.7603703)
235,164010,POINT (-73.98484690000002 40.7580744)
236,164013,POINT (-73.97586099999999 40.7526959)
237,164020,POINT (-73.98270840000001 40.7643678)
238,164021,POINT (-73.978013 40.760925)
239,164023,POINT (-73.97462420000002 40.7495666)
240,164024,POINT (-73.97335099999999 40.7565023)
241,164036,POINT (-73.9856525 40.7551897)
242,164037,POINT (-73.9842223 40.7587852)
243,164038,POINT (-74.00540809999998 40.72530560000001)
244,164039,POINT (-73.9755188 40.75075800000001)
245,164044,POINT (-73.9731804 40.7497694)
246,164049,POINT (-73.9740311 40.7617806)
247,164050,POINT (-73.97815770000003 40.7600028)
248,164053,POINT (-73.9855902 40.7593919)
249,164059,POINT (-73.9895901 40.7566394)
250,164064,POINT (-73.9893965 40.7715982)
251,164100,POINT (-73.98585870000002 40.7700965)
252,164105,POINT (-73.9614605 40.7639756)
253,164122,POINT (-74.0062444 40.7176505)
254,164152,POINT (-73.98157309999998 40.77076829999999)
255,164160,POINT (-73.98147809999998 40.7748031)
256,164161,POINT (-73.98230150000001 40.7468562)
257,164170,POINT (-73.9833386 40.7704969)
258,164174,POINT (-73.96682309999998 40.7602609)
259,164240,POINT (-73.9872725 40.7771863)
260,164290,POINT (-73.96963649999999 40.79674470000001)
261,164296,POINT (-73.96176190000001 40.7672886)
262,164309,POINT (-73.97069090000002 40.7971649)
263,164329,POINT (-73.9592823 40.7723189)
264,164341,POINT (-73.9564421 40.7760205)
265,164351,POINT (-73.98139279999999 40.7698598)
266,164397,POINT (-73.9964987 40.75875870000001)
267,164417,POINT (-73.93619809999998 40.7491318)
268,164425,POINT (-73.98617879999998 40.7759208)
269,164440,POINT (-73.98423840000002 40.7668245)
270,164464,POINT (-74.0095687 40.7054608)
271,164485,POINT (-73.9979714 40.7576828)
272,164486,POINT (-73.9827016 40.6931935)
273,164494,POINT (-73.9830936 40.7684685)
274,164497,POINT (-73.9606953 40.77608789999999)
275,164501,POINT (-73.98303620000002 40.7670851)
276,164514,POINT (-73.99028100000002 40.7471289)
277,164523,POINT (-73.98746740000001 40.7395394)
278,164533,POINT (-74.0117869 40.7060205)
279,164554,POINT (-73.9845739 40.7679609)
280,164574,POINT (-73.9832954 40.7699891)
281,164605,POINT (-73.9444507 40.8027655)
282,164613,POINT (-73.98179240000002 40.7740758)
283,164616,POINT (-73.96507819999999 40.7630161)
284,164629,POINT (-73.98397609999998 40.746991)
285,164634,POINT (-73.9843083 40.7767852)
286,164674,POINT (-74.00832890000002 40.7124573)
287,164690,POINT (-73.9938997 40.7585308)
288,164699,POINT (-74.01035859999998 40.7053674)
289,164727,POINT (-73.98603559999999 40.7527744)
290,164746,POINT (-73.9808618 40.7711442)
291,164763,POINT (-73.9526503 40.766857)
292,164802,POINT (-73.99877990000002 40.761531)
293,164815,POINT (-73.98849179999998 40.7628808)
294,164826,POINT (-73.98583670000002 40.7715594)
295,164832,POINT (-73.9655911 40.7623657)
296,164841,POINT (-73.9696392 40.7908106)
297,164845,POINT (-73.98656099999999 40.77845429999999)
298,164850,POINT (-73.98219940000001 40.7509651)
299,164853,POINT (-73.93722220000002 40.7500985)
300,164868,POINT (-73.95679150000002 40.7661395)
301,164875,POINT (-73.98597640000001 40.7765466)
302,164879,POINT (-73.9789605 40.7440203)
303,164882,POINT (-73.9821859 40.6932373)
304,164891,POINT (-73.95752879999998 40.77050670000001)
305,164898,POINT (-74.0097349 40.7077279)
306,164907,POINT (-73.99227190000001 40.757872)
