index_right,ntaname,Unnamed: 0.1,geometry
678,Battery Park City-Lower Manhattan,630368,POINT (-74.00723149999997 40.7055844)
679,Battery Park City-Lower Manhattan,630379,POINT (-74.0081187 40.7050409)
680,Hudson Yards-Chelsea-Flatiron-Union Square,634205,POINT (-74.00046570000001 40.76127020000001)
681,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,637713,POINT (-73.9535632 40.5863199)
682,Lincoln Square,638718,POINT (-73.9912844 40.7739918)
683,Clinton,638730,POINT (-73.9996498 40.7617808)
684,Battery Park City-Lower Manhattan,638811,POINT (-74.01387820000002 40.7028912)
685,Battery Park City-Lower Manhattan,638869,POINT (-74.01330109999998 40.7027595)
686,University Heights-Morris Heights,640816,POINT (-73.9226493 40.8518696)
687,Yorkville,641866,POINT (-73.9445418 40.7802176)
688,Hunters Point-Sunnyside-West Maspeth,641970,POINT (-73.9558542 40.7479031)
689,Hudson Yards-Chelsea-Flatiron-Union Square,642067,POINT (-73.99874399999999 40.752391)
690,Hudson Yards-Chelsea-Flatiron-Union Square,642068,POINT (-73.9979572 40.7520863)
691,Greenpoint,642131,POINT (-73.9609233 40.7320842)
692,Lower East Side,642135,POINT (-73.9890418 40.7108321)
693,Lower East Side,642137,POINT (-73.99123859999997 40.7104563)
694,Lenox Hill-Roosevelt Island,642314,POINT (-73.95153140000002 40.7664998)
695,Battery Park City-Lower Manhattan,642397,POINT (-74.007693 40.7038085)
696,Battery Park City-Lower Manhattan,642398,POINT (-74.006355 40.7049093)
697,Battery Park City-Lower Manhattan,642399,POINT (-74.0059583 40.70476110000001)
698,Battery Park City-Lower Manhattan,642400,POINT (-74.00551470000001 40.7052689)
699,Greenpoint,642415,POINT (-73.95862890000002 40.7372408)
700,Battery Park City-Lower Manhattan,643296,POINT (-74.01223359999999 40.70297100000001)
701,Battery Park City-Lower Manhattan,643442,POINT (-74.0099012 40.7103437)
702,Battery Park City-Lower Manhattan,643443,POINT (-74.00994449999997 40.7102888)
703,SoHo-TriBeCa-Civic Center-Little Italy,643524,POINT (-74.01223570000001 40.71451)
704,Hudson Yards-Chelsea-Flatiron-Union Square,644168,POINT (-73.9962857 40.7593571)
705,Midtown-Midtown South,644193,POINT (-73.9782041 40.7616662)
706,Clinton,644216,POINT (-73.9922777 40.7699763)
707,Battery Park City-Lower Manhattan,645538,POINT (-74.0143413 40.7094292)
708,Battery Park City-Lower Manhattan,645568,POINT (-74.0158373 40.7056)
709,SoHo-TriBeCa-Civic Center-Little Italy,645573,POINT (-74.0123949 40.7165768)
710,SoHo-TriBeCa-Civic Center-Little Italy,645575,POINT (-74.01211690000002 40.7156271)
