nta,ADMINISTRATION OF GOVERNMENT,CORE INFRASTRUCTURE AND TRANSPORTATION,"EDUCATION, CHILD WELFARE, AND YOUTH",HEALTH AND HUMAN SERVICES,LIBRARIES AND CULTURAL PROGRAMS,"PARKS, GARDENS, AND HISTORICAL SITES","PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE"
QN50,9.0,11.0,43.0,11.0,1.0,9.0,1.0
QN51,7.0,0.0,52.0,8.0,5.0,10.0,1.0
QN52,4.0,1.0,27.0,14.0,3.0,4.0,0.0
QN53,19.0,10.0,44.0,4.0,2.0,8.0,1.0
QN54,15.0,16.0,57.0,38.0,4.0,11.0,4.0
QN55,25.0,15.0,65.0,14.0,2.0,11.0,1.0
QN56,16.0,7.0,19.0,1.0,1.0,9.0,1.0
QN57,42.0,4.0,25.0,6.0,2.0,6.0,1.0
QN60,23.0,9.0,30.0,8.0,2.0,6.0,3.0
QN61,50.0,56.0,109.0,127.0,13.0,20.0,5.0
QN62,3.0,3.0,9.0,6.0,1.0,2.0,0.0
QN63,11.0,8.0,42.0,21.0,9.0,12.0,1.0
QN66,10.0,2.0,35.0,8.0,1.0,3.0,1.0
QN68,5.0,13.0,54.0,32.0,3.0,8.0,2.0
QN70,16.0,11.0,90.0,22.0,14.0,9.0,4.0
QN71,1.0,7.0,47.0,26.0,2.0,7.0,1.0
QN72,14.0,15.0,35.0,2.0,11.0,16.0,2.0
QN76,15.0,8.0,64.0,19.0,2.0,5.0,1.0
QN98,7.0,10.0,0.0,0.0,0.0,2.0,0.0
QN99,15.0,27.0,3.0,1.0,4.0,18.0,3.0
SI01,27.0,7.0,43.0,13.0,0.0,24.0,1.0
SI05,45.0,35.0,59.0,32.0,3.0,19.0,4.0
SI07,15.0,1.0,19.0,2.0,1.0,8.0,2.0
SI08,9.0,1.0,25.0,4.0,6.0,9.0,0.0
SI11,44.0,14.0,27.0,4.0,3.0,17.0,2.0
SI12,55.0,38.0,33.0,19.0,2.0,9.0,2.0
SI14,7.0,0.0,26.0,8.0,1.0,9.0,3.0
SI22,70.0,44.0,78.0,67.0,16.0,34.0,9.0
SI24,17.0,5.0,37.0,13.0,6.0,22.0,2.0
SI25,16.0,2.0,19.0,0.0,0.0,4.0,0.0
SI28,25.0,21.0,44.0,37.0,2.0,7.0,1.0
SI32,17.0,1.0,13.0,1.0,2.0,4.0,3.0
SI35,8.0,1.0,47.0,28.0,4.0,7.0,1.0
SI36,26.0,4.0,27.0,36.0,2.0,6.0,1.0
SI37,28.0,14.0,48.0,51.0,7.0,19.0,2.0
SI45,19.0,2.0,33.0,5.0,1.0,5.0,1.0
SI48,11.0,1.0,9.0,0.0,0.0,6.0,0.0
SI54,28.0,4.0,29.0,7.0,3.0,7.0,1.0
SI99,1.0,0.0,0.0,0.0,0.0,0.0,0.0
